Ensembl Gene ID	Associated Gene Name	Description	EntrezGene ID
ENSMUSG00000106013	4933402J10Rik	RIKEN cDNA 4933402J10 gene [Source:MGI Symbol;Acc:MGI:1918307]	
ENSMUSG00000024019	Cmtr1	cap methyltransferase 1 [Source:MGI Symbol;Acc:MGI:1921407]	74157
ENSMUSG00000036813	Entpd8	ectonucleoside triphosphate diphosphohydrolase 8 [Source:MGI Symbol;Acc:MGI:1919340]	72090
ENSMUSG00000028414	Fktn	fukutin [Source:MGI Symbol;Acc:MGI:2179507]	246179
ENSMUSG00000105158	Gm42862	predicted gene 42862 [Source:MGI Symbol;Acc:MGI:5662999]	
ENSMUSG00000106250	Gm43392	predicted gene 43392 [Source:MGI Symbol;Acc:MGI:5663529]	
ENSMUSG00000042286	Stab1	stabilin 1 [Source:MGI Symbol;Acc:MGI:2178742]	192187
ENSMUSG00000106170	Gm43393	predicted gene 43393 [Source:MGI Symbol;Acc:MGI:5663530]	
ENSMUSG00000099511	Gm28059	predicted gene 28059 [Source:MGI Symbol;Acc:MGI:5578765]	
ENSMUSG00000023032	Slc4a8	solute carrier family 4 (anion exchanger), member 8 [Source:MGI Symbol;Acc:MGI:1928745]	59033
ENSMUSG00000106042	Gm42861	predicted gene 42861 [Source:MGI Symbol;Acc:MGI:5662998]	
ENSMUSG00000037355	Uvssa	UV stimulated scaffold protein A [Source:MGI Symbol;Acc:MGI:1918351]	71101
ENSMUSG00000092031	Gm2108	predicted gene 2108 [Source:MGI Symbol;Acc:MGI:3780276]	
ENSMUSG00000059877	Dph3b-ps	diphthamide biosynthesis 3, pseudogene [Source:MGI Symbol;Acc:MGI:3647154]	
ENSMUSG00000087034	Cbfa2t2-ps1	core-binding factor, runt domain, alpha subunit 2; translocated to,  (human), pseudogene 1 [Source:MGI Symbol;Acc:MGI:1333788]	
ENSMUSG00000101449	Gm17791	predicted gene, 17791 [Source:MGI Symbol;Acc:MGI:5009973]	
ENSMUSG00000086189	Gm15462	predicted gene 15462 [Source:MGI Symbol;Acc:MGI:3705271]	
ENSMUSG00000106548	Gm43390	predicted gene 43390 [Source:MGI Symbol;Acc:MGI:5663527]	
ENSMUSG00000061136	Prpf40a	PRP40 pre-mRNA processing factor 40 homolog A (yeast) [Source:MGI Symbol;Acc:MGI:1860512]	56194
ENSMUSG00000105486	Gm3372	predicted gene 3372 [Source:MGI Symbol;Acc:MGI:3781550]	
ENSMUSG00000074653	Lrrc31	leucine rich repeat containing 31 [Source:MGI Symbol;Acc:MGI:2443864]	320352
ENSMUSG00000082080	Gm9246	predicted gene 9246 [Source:MGI Symbol;Acc:MGI:3648324]	
ENSMUSG00000106824	Gm7697	predicted gene 7697 [Source:MGI Symbol;Acc:MGI:3649141]	665578
ENSMUSG00000106044	Gm42860	predicted gene 42860 [Source:MGI Symbol;Acc:MGI:5662997]	
ENSMUSG00000104775	Gm8182	predicted gene 8182 [Source:MGI Symbol;Acc:MGI:3643331]	
ENSMUSG00000074973	Gm11382	predicted pseudogene 11382 [Source:MGI Symbol;Acc:MGI:3650578]	
ENSMUSG00000105903	1700014F14Rik	RIKEN cDNA 1700014F14 gene [Source:MGI Symbol;Acc:MGI:1924172]	
ENSMUSG00000090083	Rnf8	ring finger protein 8 [Source:MGI Symbol;Acc:MGI:1929069]	58230
ENSMUSG00000044021	Muc19	mucin 19 [Source:MGI Symbol;Acc:MGI:2676278]	
ENSMUSG00000015217	Hmgb3	high mobility group box 3 [Source:MGI Symbol;Acc:MGI:1098219]	15354
ENSMUSG00000039304	Tnfsf10	tumor necrosis factor (ligand) superfamily, member 10 [Source:MGI Symbol;Acc:MGI:107414]	22035
ENSMUSG00000056383	AI987944	expressed sequence AI987944 [Source:MGI Symbol;Acc:MGI:2142079]	233168
ENSMUSG00000054753	AU018091	expressed sequence AU018091 [Source:MGI Symbol;Acc:MGI:2142124]	245128
ENSMUSG00000087108	Gm16093	predicted gene 16093 [Source:MGI Symbol;Acc:MGI:3801946]	
ENSMUSG00000106370	Gm43382	predicted gene 43382 [Source:MGI Symbol;Acc:MGI:5663519]	
ENSMUSG00000022707	Gbe1	glucan (1,4-alpha-), branching enzyme 1 [Source:MGI Symbol;Acc:MGI:1921435]	74185
