	A32_Cntrl	A36_Cntrl	A37_Cntrl	A39_Cntrl	A50_Cntrl	A33_KO	A35_KO	A51_KO
ENSMUSG00000000131.11	3581.0841956761	3408.93950916205	5140.14063596535	4625.34420463627	3842.41152578098	4596.16697544421	4309.64002658079	4986.74050969649
ENSMUSG00000000134.13	55.452297944659	105.986862252157	49.3059053809626	89.5003669129318	186.885529821167	103.057390270857	124.336300242317	119.252899420122
ENSMUSG00000000142.11	12.6027949874225	13.7051977050203	17.8049102764587	22.5923256285071	16.8872466705874	12.5209913413191	25.6893182318836	42.6684685998602
ENSMUSG00000000148.13	19.5343322305049	17.3599170930257	12.3264763452406	19.1165832241214	13.5097973364699	16.373604061725	13.3584454805795	9.84656967689083
ENSMUSG00000000149.6	44.1097824559787	51.1660714320758	95.8725937963161	52.1361360657855	50.6617400117622	16.373604061725	34.9374727953617	63.4556712510742
ENSMUSG00000000154.11	0	0	0	1.73787120219285	20.2646960047049	0	0	0
ENSMUSG00000000157.11	0	0	0	0	0	0	0	0
ENSMUSG00000000159.11	0.630139749371125	0	0	0	0	0	0	0
ENSMUSG00000000167.10	1.26027949874225	6.39575892900947	0	2.60680680328928	1.12581644470583	4.81576590050735	11.3033000220288	1.09406329743231
ENSMUSG00000000168.5	379.974268870788	401.105452833594	414.991370289768	340.622755629799	452.578210771742	267.756584068208	247.645027755358	357.758698260367
ENSMUSG00000000171.4	102.712779147493	76.7491071481136	104.090244693143	125.126726557885	139.601239143522	69.3470289673058	105.83999111536	98.4656967689083
ENSMUSG00000000182.7	0	0	0	0	0	2.88945954030441	1.02757272927534	0
ENSMUSG00000000183.5	1.26027949874225	1.82735969400271	0	0	0	0.963153180101469	0	0
ENSMUSG00000000184.9	66.7948134333392	77.662786995115	195.854013041046	88.6314313118354	163.243384482345	213.820005982526	255.865609589561	95.1835068766113
ENSMUSG00000000194.9	346.576862154119	455.012563806674	568.387520363874	470.094160193166	531.38536190115	449.792535107386	466.518019091006	390.580597183336
ENSMUSG00000000197.7	1.89041924811337	3.65471938800541	0	0.868935601096425	0	0	0	0
ENSMUSG00000000202.5	0	0	0	1.73787120219285	0	0.963153180101469	0	0
ENSMUSG00000000204.11	8.82195649119575	0	0	0	0	6.74207226071028	0	0
ENSMUSG00000000214.6	0.630139749371125	0	0	0.868935601096425	0	25.0419826826382	47.2683455466658	19.6931393537817
ENSMUSG00000000215.6	0	0	0	0	0	0	0	0
ENSMUSG00000000216.8	0	0	0	0	0	0	0	0
ENSMUSG00000000223.9	1.89041924811337	4.56839923500676	1.36960848280452	1.73787120219285	4.5032657788233	4.81576590050735	6.16543637565206	4.37625318972926
ENSMUSG00000000244.12	1.26027949874225	0.913679847001353	0	3.4757424043857	12.3839808917641	18.2999104219279	5.13786364637672	6.56437978459388
ENSMUSG00000000247.7	0	0	0	0	0	0	0	0
ENSMUSG00000000248.12	0	0	0	0	0	0	0	0
ENSMUSG00000000253.8	97.6716611525244	82.2311862301218	79.4372920026619	141.636502978717	76.5555182399962	78.9785607683205	49.3234910052165	56.8912914664803
ENSMUSG00000000263.11	0	0	4.10882544841355	0	0	12.5209913413191	1.02757272927534	0
ENSMUSG00000000266.7	164.466474585864	81.3175063831204	63.0019902090077	91.2382381151247	38.2777591199981	199.372708281004	101.729700198259	91.9013169843144
ENSMUSG00000000275.12	281.042328219522	160.807653072238	99.9814192447297	219.840707077396	158.740118703521	109.799462531567	133.584454805795	137.851975476472
ENSMUSG00000000276.7	264.658694735872	201.009566340298	173.940277316174	257.204937924542	301.718807181161	56.8260376259867	44.1856273588398	129.099469097013
ENSMUSG00000000278.10	30.246707969814	12.7915178580189	19.1745187592632	19.9855188252178	16.8872466705874	14.447297701522	2.05514545855069	43.7625318972926
ENSMUSG00000000282.8	51.6714594484322	70.3533482191042	178.049102764587	73.8595260931962	75.4297017952904	182.999104219279	190.100954915939	237.411735542812
ENSMUSG00000000290.9	9.45209624056687	0.913679847001353	1.36960848280452	6.9514848087714	2.25163288941165	6.74207226071028	9.2481545634781	4.37625318972926
ENSMUSG00000000295.8	6.30139749371125	3.65471938800541	0	2.60680680328928	2.25163288941165	0.963153180101469	9.2481545634781	1.09406329743231
ENSMUSG00000000296.7	0	0	0	1.73787120219285	0	0	0	0
ENSMUSG00000000301.12	2.5205589974845	0.913679847001353	0	0	0	0	0	0
ENSMUSG00000000303.8	0	0	0	0	0	0.963153180101469	0	0
ENSMUSG00000000305.8	2.5205589974845	0	0	2.60680680328928	0	24.0788295025367	10.2757272927534	12.0346962717555
ENSMUSG00000000308.10	0.630139749371125	0	0	1.73787120219285	0	0	1.02757272927534	0
ENSMUSG00000000317.7	52.3015991978034	79.4901466891177	36.9794290357219	54.7429428690748	70.9264360164671	53.9365780856823	73.9852365078248	21.8812659486463
ENSMUSG00000000318.12	1.89041924811337	3.65471938800541	0	1.73787120219285	1.12581644470583	0.963153180101469	0	0
ENSMUSG00000000320.6	16.3836334836492	16.4462372460243	34.2402120701129	20.8544544263142	15.7614302258816	17.3367572418264	49.3234910052165	17.505012758917
ENSMUSG00000000325.11	91.3702636588131	105.986862252157	158.874584005324	105.141207732667	91.1911320211719	129.062526133597	244.562309567532	165.203557912279
ENSMUSG00000000326.8	117.205993383029	130.656218121193	145.178499177279	184.214347432442	148.607770701169	243.677754565672	313.40968242898	301.961470091319
ENSMUSG00000000339.10	22.6850309773605	16.4462372460243	10.9568678624361	19.9855188252178	6.75489866823496	7.70522544081175	2.05514545855069	10.9406329743231
ENSMUSG00000000340.6	32.7672669672985	24.6693558690365	24.6529526904813	26.0680680328928	20.2646960047049	6.74207226071028	6.16543637565206	1.09406329743231
ENSMUSG00000000346.8	107.753897142462	74.0080676071096	45.197079932549	71.2527192899069	87.8136826870544	41.4155867443632	32.882327336811	24.0693925435109
ENSMUSG00000000355.9	138.630744861647	190.959088023283	202.702055455068	266.763229536603	195.892061378814	230.193610044251	228.121145899126	190.367013753223
