name	ensembl_gene_id	external_gene_name
SRR1258429.filtered.BAM_peak_4857	ENSMUSG00000024792	Zfpl1
SRR1258429.filtered.BAM_peak_4856	ENSMUSG00000024799	Tm7sf2
SRR1258429.filtered.BAM_peak_4935	ENSMUSG00000024800	Rpp30
SRR1258429.filtered.BAM_peak_4825	ENSMUSG00000024829	Mrpl21
SRR1258429.filtered.BAM_peak_4825	ENSMUSG00000024831	Ighmbp2
SRR1258429.filtered.BAM_peak_4913	ENSMUSG00000024867	Pip5k1b
SRR1258429.filtered.BAM_peak_4915	ENSMUSG00000024878	Cbwd1
SRR1258429.filtered.BAM_peak_4839	ENSMUSG00000024902	Mrpl11
SRR1258429.filtered.BAM_peak_4848	ENSMUSG00000024911	Fibp
SRR1258429.filtered.BAM_peak_4945	ENSMUSG00000025013	Tll2
SRR1258429.filtered.BAM_peak_4981	ENSMUSG00000025024	Smndc1
SRR1258429.filtered.BAM_peak_4977	ENSMUSG00000044948	Cfap43
SRR1258429.filtered.BAM_peak_3179	ENSMUSG00000025155	Dus1l
SRR1258429.filtered.BAM_peak_4956	ENSMUSG00000025200	Cwf19l1
SRR1258429.filtered.BAM_peak_8265	ENSMUSG00000025266	Gnl3l
SRR1258429.filtered.BAM_peak_3775	ENSMUSG00000025280	Polr3a
SRR1258429.filtered.BAM_peak_2641	ENSMUSG00000025362	Rps26
SRR1258429.filtered.BAM_peak_5995	ENSMUSG00000025413	Ttc4
SRR1258429.filtered.BAM_peak_4800	ENSMUSG00000025421	Hdhd2
SRR1258429.filtered.BAM_peak_4803	ENSMUSG00000025428	Atp5a1
SRR1258429.filtered.BAM_peak_7042	ENSMUSG00000025439	Clns1a
SRR1258429.filtered.BAM_peak_7171	ENSMUSG00000025484	Bet1l
SRR1258429.filtered.BAM_peak_6443	ENSMUSG00000025532	Crcp
SRR1258429.filtered.BAM_peak_3939	ENSMUSG00000025544	Tm9sf2
SRR1258429.filtered.BAM_peak_3168	ENSMUSG00000025583	Rptor
SRR1258429.filtered.BAM_peak_7492	ENSMUSG00000025591	Tma16
SRR1258429.filtered.BAM_peak_4355	ENSMUSG00000025613	Cct8
SRR1258429.filtered.BAM_peak_8069	ENSMUSG00000025651	Uqcrc1
SRR1258429.filtered.BAM_peak_4457	ENSMUSG00000025728	Pigq
SRR1258429.filtered.BAM_peak_4454	ENSMUSG00000025737	Wdr24
SRR1258429.filtered.BAM_peak_6988	ENSMUSG00000078671	Chd2
SRR1258429.filtered.BAM_peak_6989	ENSMUSG00000078671	Chd2
SRR1258429.filtered.BAM_peak_5014	ENSMUSG00000025817	Nudt5
SRR1258429.filtered.BAM_peak_3569	ENSMUSG00000025870	Arl10
SRR1258429.filtered.BAM_peak_23	ENSMUSG00000025907	Rb1cc1
SRR1258429.filtered.BAM_peak_159	ENSMUSG00000025933	Tmem14a
SRR1258429.filtered.BAM_peak_729	ENSMUSG00000025962	Fastkd2
SRR1258429.filtered.BAM_peak_724	ENSMUSG00000025967	Eef1b2
SRR1258429.filtered.BAM_peak_619	ENSMUSG00000025971	Maip1
SRR1258429.filtered.BAM_peak_567	ENSMUSG00000025980	Hspd1
SRR1258429.filtered.BAM_peak_565	ENSMUSG00000025982	Sf3b1
SRR1258429.filtered.BAM_peak_641	ENSMUSG00000026032	Ndufb3
SRR1258429.filtered.BAM_peak_320	ENSMUSG00000026087	Mrpl30
SRR1258429.filtered.BAM_peak_320	ENSMUSG00000026088	Mitd1
SRR1258429.filtered.BAM_peak_546	ENSMUSG00000026095	Asnsd1
SRR1258429.filtered.BAM_peak_316	ENSMUSG00000026111	Unc50
SRR1258429.filtered.BAM_peak_316	ENSMUSG00000026112	Coa5
SRR1258429.filtered.BAM_peak_900	ENSMUSG00000026135	Zfp142
SRR1258429.filtered.BAM_peak_1032	ENSMUSG00000026142	Rhbdd1
SRR1258429.filtered.BAM_peak_197	ENSMUSG00000026153	Fam135a
SRR1258429.filtered.BAM_peak_900	ENSMUSG00000026172	Bcs1l
SRR1258429.filtered.BAM_peak_910	ENSMUSG00000026201	Stk16
SRR1258429.filtered.BAM_peak_1059	ENSMUSG00000026219	Trip12
SRR1258429.filtered.BAM_peak_1112	ENSMUSG00000026240	Cops7b
SRR1258429.filtered.BAM_peak_970	ENSMUSG00000026248	Mrpl44
SRR1258429.filtered.BAM_peak_1179	ENSMUSG00000026260	Ndufa10
SRR1258429.filtered.BAM_peak_1187	ENSMUSG00000026273	Mterf4
SRR1258429.filtered.BAM_peak_1125	ENSMUSG00000026289	Atg16l1
SRR1258429.filtered.BAM_peak_1234	ENSMUSG00000026333	Gin1
SRR1258429.filtered.BAM_peak_1468	ENSMUSG00000026349	Ccnt2
SRR1258429.filtered.BAM_peak_1375	ENSMUSG00000026374	Tsn
SRR1258429.filtered.BAM_peak_1376	ENSMUSG00000026377	Nifk
SRR1258429.filtered.BAM_peak_1515	ENSMUSG00000026439	Rbbp5
SRR1258429.filtered.BAM_peak_1789	ENSMUSG00000026466	Tor1aip1
SRR1258429.filtered.BAM_peak_2162	ENSMUSG00000026495	Efcab2
SRR1258429.filtered.BAM_peak_2157	ENSMUSG00000026502	Desi2
SRR1258429.filtered.BAM_peak_2128	ENSMUSG00000026504	Sdccag8
SRR1258429.filtered.BAM_peak_2198	ENSMUSG00000026516	Nvl
SRR1258429.filtered.BAM_peak_1978	ENSMUSG00000026563	Tada1
SRR1258429.filtered.BAM_peak_1950	ENSMUSG00000026577	Blzf1
SRR1258429.filtered.BAM_peak_1948	ENSMUSG00000026578	Ccdc181
SRR1258429.filtered.BAM_peak_1941	ENSMUSG00000026584	Scyl3
SRR1258429.filtered.BAM_peak_2281	ENSMUSG00000026611	Spata17
SRR1258429.filtered.BAM_peak_2284	ENSMUSG00000026611	Spata17
SRR1258429.filtered.BAM_peak_2332	ENSMUSG00000026632	Tatdn3
SRR1258429.filtered.BAM_peak_2045	ENSMUSG00000026659	Dusp12
SRR1258429.filtered.BAM_peak_2039	ENSMUSG00000026667	Uhmk1
SRR1258429.filtered.BAM_peak_2035	ENSMUSG00000026683	Nuf2
SRR1258429.filtered.BAM_peak_1897	ENSMUSG00000026698	Pigc
SRR1258429.filtered.BAM_peak_5027	ENSMUSG00000026723	Trdmt1
SRR1258429.filtered.BAM_peak_5122	ENSMUSG00000026753	Ppp6c
SRR1258429.filtered.BAM_peak_4641	ENSMUSG00000024240	Epc1
SRR1258429.filtered.BAM_peak_5042	ENSMUSG00000026781	Acbd5
SRR1258429.filtered.BAM_peak_5080	ENSMUSG00000026799	Med27
SRR1258429.filtered.BAM_peak_5108	ENSMUSG00000035949	Fbxw2
SRR1258429.filtered.BAM_peak_5106	ENSMUSG00000026864	Hspa5
SRR1258429.filtered.BAM_peak_5161	ENSMUSG00000026888	Grb14
SRR1258429.filtered.BAM_peak_5154	ENSMUSG00000026914	Psmd14
SRR1258429.filtered.BAM_peak_5205	ENSMUSG00000027001	Dusp19
SRR1258429.filtered.BAM_peak_5215	ENSMUSG00000027076	Timm10
SRR1258429.filtered.BAM_peak_5264	ENSMUSG00000027122	Arl14ep
SRR1258429.filtered.BAM_peak_5267	ENSMUSG00000027162	Lin7c
SRR1258429.filtered.BAM_peak_5256	ENSMUSG00000027170	Eif3m
SRR1258429.filtered.BAM_peak_5311	ENSMUSG00000027206	Cops2
SRR1258429.filtered.BAM_peak_5311	ENSMUSG00000027207	Galk2
SRR1258429.filtered.BAM_peak_5300	ENSMUSG00000027242	Wdr76
SRR1258429.filtered.BAM_peak_5294	ENSMUSG00000027291	Vps39
SRR1258429.filtered.BAM_peak_5290	ENSMUSG00000027305	Ndufaf1
SRR1258429.filtered.BAM_peak_5339	ENSMUSG00000027303	Ptpra
SRR1258429.filtered.BAM_peak_5282	ENSMUSG00000027349	Fam98b
SRR1258429.filtered.BAM_peak_5347	ENSMUSG00000027353	Mcm8
SRR1258429.filtered.BAM_peak_5348	ENSMUSG00000027357	Crls1
SRR1258429.filtered.BAM_peak_5315	ENSMUSG00000027363	Usp8
SRR1258429.filtered.BAM_peak_5316	ENSMUSG00000027365	Trpm7
SRR1258429.filtered.BAM_peak_5317	ENSMUSG00000027366	Sppl2a
SRR1258429.filtered.BAM_peak_5322	ENSMUSG00000027371	Fahd2a
SRR1258429.filtered.BAM_peak_5332	ENSMUSG00000027395	Polr1b
SRR1258429.filtered.BAM_peak_5358	ENSMUSG00000027427	Polr3f
SRR1258429.filtered.BAM_peak_5359	ENSMUSG00000027428	Rbbp9
